point,algorithm,time,coverage,length,rotation
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,30,72.34,1812,1821
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,40,83.05,2116,2112
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,50,88.84,2332,2315
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,60,89.97,2542,2405
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,70,93.81,2807,2593
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,80,97.19,3080,2773
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,90,97.39,3261,2828
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,100,97.68,3437,2887
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,110,97.73,3565,2913
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,120,97.86,3679,2929
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,130,97.92,3796,2953
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,140,97.99,3939,2989
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,150,98.04,4084,3017
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,160,98.07,4174,3034
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,170,98.08,4263,3038
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,180,98.13,4354,3059
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,190,98.16,4463,3080
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,200,98.19,4565,3085
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,210,98.19,4565,3085
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,220,98.2,4668,3091
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,230,98.21,4744,3097
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,240,98.23,4823,3105
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,250,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,260,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,270,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,280,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,290,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,300,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,310,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,320,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,330,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,340,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,350,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,360,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,370,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,380,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,390,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,400,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,410,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,420,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,430,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,440,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,450,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,460,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,470,98.23,4855,3109
6 - [ 17.5        -13.5        -10.37468719],BAstar,0,0,0,0
6 - [ 17.5        -13.5        -10.37468719],BAstar,10,24.15,861,445
6 - [ 17.5        -13.5        -10.37468719],BAstar,20,38.94,1362,757
6 - [ 17.5        -13.5        -10.37468719],BAstar,30,52.38,1734,906
6 - [ 17.5        -13.5        -10.37468719],BAstar,40,63.55,2144,1117
6 - [ 17.5        -13.5        -10.37468719],BAstar,50,68.01,2413,1248
6 - [ 17.5        -13.5        -10.37468719],BAstar,60,84.11,2715,1343
6 - [ 17.5        -13.5        -10.37468719],BAstar,70,91.62,3015,1497
6 - [ 17.5        -13.5        -10.37468719],BAstar,80,94.22,3182,1657
6 - [ 17.5        -13.5        -10.37468719],BAstar,90,94.41,3227,1670
6 - [ 17.5        -13.5        -10.37468719],BAstar,100,94.5,3246,1685
6 - [ 17.5        -13.5        -10.37468719],BAstar,110,94.55,3248,1692
6 - [ 17.5        -13.5        -10.37468719],BAstar,120,94.71,3341,1699
6 - [ 17.5        -13.5        -10.37468719],BAstar,130,97.17,3433,1752
6 - [ 17.5        -13.5        -10.37468719],BAstar,140,97.3,3488,1760
6 - [ 17.5        -13.5        -10.37468719],BAstar,150,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,160,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,170,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,180,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,190,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,200,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,210,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,220,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,230,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,240,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,250,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,260,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,270,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,280,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,290,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,300,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,310,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,320,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,330,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,340,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,350,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,360,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,370,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,380,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,390,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,400,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,410,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,420,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,430,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,440,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,450,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,460,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar,470,97.36,3495,1764
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,0,0,0,0
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,10,33.66,949,954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,20,42.23,1409,1337
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,30,61.41,1914,1830
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,40,78.66,2276,2169
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,50,84.63,2507,2404
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,60,91.32,2784,2647
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,70,95.5,3018,2800
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,80,97.25,3174,2930
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,90,97.25,3174,2930
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,100,97.27,3210,2935
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,110,97.27,3223,2941
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,120,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,130,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,140,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,150,97.37,3353,2954
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,160,97.37,3353,2954
